video_file,trackId,image_path,likely_class,confidence,start_time_sec,end_time_sec,avg_confidence,direction,species,species_confidence,video_timestamp,duration
00000002.ASF,2,C:\Users\aleks\source\repos\FishLens\fish_images\Chinook\00000002_track_2.jpg,fish,93.27%,9.75,12.75,93.27%,upstream,Chinook,96.06%,2025/09/26 23:02:29,0:10-0:13
00000003.ASF,1,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000003_track_1.jpg,fish,96.48%,10.12,13.12,96.48%,upstream,Omykiss,87.29%,2025/09/26 23:06:21*,0:10-0:13
00000004.ASF,1,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000004_track_1.jpg,fish,90.26%,9.38,9.75,90.26%,downstream,Omykiss,99.96%,2025/09/26 23:21:00,0:09-0:10
00000005.ASF,2,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000005_track_2.jpg,fish,86.39%,9.50,9.75,86.39%,downstream,Omykiss,65.55%,2025/09/26 23:26:57*,0:09-0:10
00000006.ASF,2,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000006_track_2.jpg,fish,92.73%,9.75,10.50,92.73%,upstream,Omykiss,68.49%,2025/09/26 23:46:32,0:10-0:10
00000007.ASF,3,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000007_track_3.jpg,fish,86.31%,12.00,12.75,86.31%,downstream,Omykiss,98.36%,2025/09/27 00:36:38,0:12-0:13
00000009.ASF,3,C:\Users\aleks\source\repos\FishLens\fish_images\Chinook\00000009_track_3.jpg,fish,94.77%,10.12,10.88,94.77%,downstream,Chinook,99.56%,2025/09/27 01:47:36*,0:10-0:11
00000013.ASF,1,C:\Users\aleks\source\repos\FishLens\fish_images\Chinook\00000013_track_1.jpg,fish,93.92%,9.00,10.12,93.92%,upstream,Chinook,59.06%,2025/09/27 21:25:32*,0:09-0:10
00000014.ASF,2,C:\Users\aleks\source\repos\FishLens\fish_images\Chinook\00000014_track_2.jpg,fish,93.60%,10.88,12.00,93.60%,downstream,Chinook,64.97%,2025/09/27 21:42:20,0:11-0:12
00000015.ASF,1,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000015_track_1.jpg,fish,94.37%,9.38,13.50,94.37%,downstream,Omykiss,86.88%,2025/09/27 21:56:00,0:09-0:13
00000016.ASF,1,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000016_track_1.jpg,fish,90.94%,9.75,10.50,90.94%,upstream,Omykiss,98.86%,2025/09/27 22:32:16,0:10-0:10
00000017.ASF,1,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000017_track_1.jpg,fish,94.45%,0.75,3.75,94.45%,upstream,Omykiss,88.11%,2025/09/27 22:34:39,0:01-0:04
00000018.ASF,1,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000018_track_1.jpg,fish,94.54%,10.12,11.75,94.54%,upstream,Omykiss,99.96%,2025/09/27 22:49:06,0:10-0:12
00000019.ASF,1,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000019_track_1.jpg,fish,91.46%,9.00,9.75,91.46%,upstream,Omykiss,99.81%,2025/09/27 22:59:47,0:09-0:10
00000019.ASF,3,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000019_track_3.jpg,fish,90.94%,11.62,12.75,90.94%,upstream,Omykiss,91.53%,2025/09/27 22:59:49,0:12-0:13
00000020.ASF,2,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000020_track_2.jpg,fish,93.59%,12.00,12.75,93.59%,upstream,Omykiss,83.92%,2025/09/28 00:55:50*,0:12-0:13
00000021.ASF,1,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000021_track_1.jpg,fish,94.54%,10.50,12.00,94.54%,upstream,Omykiss,98.68%,2025/09/28 01:09:44,0:10-0:12
00000023.ASF,2,C:\Users\aleks\source\repos\FishLens\fish_images\Chinook\00000023_track_2.jpg,fish,94.76%,10.50,13.88,94.76%,downstream,Chinook,94.54%,2025/09/28 01:24:57*,0:10-0:14
00000023.ASF,5,C:\Users\aleks\source\repos\FishLens\fish_images\Chinook\00000023_track_5.jpg,fish,93.99%,100.12,101.62,93.99%,upstream,Chinook,88.58%,2025/09/28 01:26:38,1:40-1:42
00000024.ASF,2,C:\Users\aleks\source\repos\FishLens\fish_images\Chinook\00000024_track_2.jpg,fish,94.55%,10.00,10.88,94.55%,downstream,Chinook,99.97%,2025/09/28 02:09:23*,0:10-0:11
00000025.ASF,1,C:\Users\aleks\source\repos\FishLens\fish_images\Chinook\00000025_track_1.jpg,fish,89.74%,9.38,10.12,89.74%,upstream,Chinook,74.73%,2025/09/28 02:57:08,0:09-0:10
00000025.ASF,2,C:\Users\aleks\source\repos\FishLens\fish_images\Chinook\00000025_track_2.jpg,fish,94.46%,10.88,12.00,94.46%,upstream,Chinook,54.55%,2025/09/28 02:56:59*,0:11-0:12
00000027.ASF,19,C:\Users\aleks\source\repos\FishLens\fish_images\Omykiss\00000027_track_19.jpg,fish,75.85%,136.12,136.88,75.85%,downstream,Omykiss,99.98%,2025/09/28 15:21:05,2:16-2:17
